,value
2018-01-31,27.090968173598693
2018-02-28,30.34540195781614
2018-03-31,33.013073376924865
2018-04-30,34.65959622131362
2018-05-31,33.79959282556204
2018-06-30,31.111172955301804
2018-07-31,27.132026249376104
2018-08-31,23.227154898223496
2018-09-30,21.584629316892048
2018-10-31,19.94709430038982
2018-11-30,19.772345246963745
2018-12-31,21.730736512019106
2019-01-31,24.00756375183591
2019-02-28,24.69428940983218
2019-03-31,25.004792741547263
2019-04-30,24.6549054727233
2019-05-31,23.727980206875035
2019-06-30,22.09249649713624
2019-07-31,21.40121268913067
2019-08-31,20.378869671545992
2019-09-30,17.984353860063024
2019-10-31,16.48019284487326
2019-11-30,17.08407770195034
2019-12-31,20.518655702123624
2020-01-31,25.403310191685186
2020-02-29,29.734128246687245
2020-03-31,33.821866515577724
2020-04-30,34.90670073780107
2020-05-31,32.949025496938035
2020-06-30,29.110748319410177
2020-07-31,24.932978496485855
2020-08-31,20.325336565633766
2020-09-30,17.68065484057707
2020-10-31,17.005415103615963
2020-11-30,16.305283599048526
2020-12-31,15.740579678751626
2021-01-31,17.014964227316398
2021-02-28,20.252093251173534
2021-03-31,25.131602293546596
2021-04-30,31.226233506607546
2021-05-31,34.811293479708375
2021-06-30,33.65540024017529
2021-07-31,28.211092388228945
2021-08-31,23.254553871234645
2021-09-30,19.863508802132344
2021-10-31,18.037858996041514
2021-11-30,17.578209789015837
2021-12-31,18.60614925403825
2022-01-31,21.89040503554016
2022-02-28,25.634836674981663
2022-03-31,27.988956111207838
2022-04-30,27.655230527138436
2022-05-31,24.219455477676828
2022-06-30,19.804325843798726
2022-07-31,16.088198974054286
2022-08-31,15.151940268451348
2022-09-30,15.370729887021142
2022-10-31,16.68230794917131
2022-11-30,18.055068434557583
2022-12-31,18.55597574158657
2023-01-31,18.70877214478975
2023-02-28,18.985021159661628
2023-03-31,21.81871761348716
2023-04-30,23.595483666282284
2023-05-31,23.928967173300798
2023-06-30,21.941943936300433
2023-07-31,19.747537049473692
2023-08-31,18.249852332248867
2023-09-30,16.987338349141357
2023-10-31,16.38415244779867
2023-11-30,16.33942236367104
2023-12-31,17.94160725083329
2024-01-31,20.201207985070432
2024-02-29,21.224957696061146
2024-03-31,20.479234514903844
2024-04-30,19.590260321730074
2024-05-31,20.178375499616514
2024-06-30,20.23643892706078
2024-07-31,18.59311388240733
2024-08-31,16.497851575500526
2024-09-30,16.189564378912788
2024-10-31,17.123630950663603
2024-11-30,18.15832546868348
2024-12-31,20.858475316931624
2025-01-31,24.708796629624306
2025-02-28,29.582243418755397
2025-03-31,33.393911082637985
2025-04-30,33.65684383603409
2025-05-31,30.518551777421322
2025-06-30,28.422425610047465
2025-07-31,28.67054683015925
2025-08-31,28.412566466947396
